article_index,title,slug,category,primary_keyword,secondary_keywords,source_url,competitor_research_file,competitor_urls,research_status,brief_file,outline_file,notes
43,Distal radius fracture - volar locking plate,distal-radius-fracture-volar-locking-plate,"Trauma, Hand Surgery",distal radius volar locking plate technique,distal radius ORIF volar plate; volar approach distal radius fracture; distal radius fixation operative steps; volar plating wrist fracture procedure; distal radius fracture surgical technique,https://web.osgenic.com/pages/659,research/competitor_sheets/043-distal-radius-fracture-volar-locking-plate.md,,not_started,research\briefs\043-distal-radius-fracture-volar-locking-plate.md,research\outlines\043-distal-radius-fracture-volar-locking-plate.md,
44,Distal femoral fracture - lateral locking plate,distal-femoral-fracture-lateral-locking-plate,Trauma,distal femur lateral locking plate technique,distal femur fracture ORIF steps; lateral plate fixation distal femur; distal femoral fracture surgical approach; locking plate distal femur procedure; distal femur fracture operative technique,https://web.osgenic.com/pages/638,research/competitor_sheets/044-distal-femoral-fracture-lateral-locking-plate.md,,not_started,research\briefs\044-distal-femoral-fracture-lateral-locking-plate.md,research\outlines\044-distal-femoral-fracture-lateral-locking-plate.md,
45,Distal biceps tendon repair,distal-biceps-tendon-repair,"Trauma, Shoulder & Elbow",distal biceps tendon repair technique,distal biceps rupture surgical repair; distal biceps reinsertion steps; distal biceps tendon operative procedure; cortical button distal biceps repair; elbow distal biceps repair approach,https://web.osgenic.com/pages/810,research/competitor_sheets/045-distal-biceps-tendon-repair.md,,not_started,research\briefs\045-distal-biceps-tendon-repair.md,research\outlines\045-distal-biceps-tendon-repair.md,
46,Digital Nerve Block - Toe,digital-nerve-block-toe,"Plastic Surgery, Vascular Surgery, Family Medicine, Trauma",toe digital nerve block technique,digital block toe procedure; toe anesthesia injection landmarks; hallux digital nerve block steps; toe local anesthetic block technique; digital nerve block foot,https://web.osgenic.com/pages/526,research/competitor_sheets/046-digital-nerve-block-toe.md,,not_started,research\briefs\046-digital-nerve-block-toe.md,research\outlines\046-digital-nerve-block-toe.md,
47,Digital Nerve Block - Finger,digital-nerve-block-finger,"Hand Surgery, Plastic Surgery, Family Medicine, Trauma",finger digital nerve block technique,digital block finger procedure; finger anesthesia injection landmarks; ring block finger step by step; hand digital nerve block technique; finger local anesthetic block,https://web.osgenic.com/pages/525,research/competitor_sheets/047-digital-nerve-block-finger.md,,not_started,research\briefs\047-digital-nerve-block-finger.md,research\outlines\047-digital-nerve-block-finger.md,
48,De Quervain’s release,de-quervain-s-release,Hand Surgery,de quervain release technique,first dorsal compartment release steps; de quervain tenosynovitis surgery procedure; de quervain operative technique; surgical release of de quervain disease; wrist first extensor compartment release,https://web.osgenic.com/pages/631,research/competitor_sheets/048-de-quervain-s-release.md,,not_started,research\briefs\048-de-quervain-s-release.md,research\outlines\048-de-quervain-s-release.md,
49,De Quervain’s corticosteroid injection,de-quervain-s-corticosteroid-injection,"Hand Surgery, Family Medicine",de quervain corticosteroid injection technique,first dorsal compartment injection; de quervain injection landmarks; wrist tendon sheath injection step by step; de quervain steroid injection procedure; de quervain ultrasound guided injection,https://web.osgenic.com/pages/625,research/competitor_sheets/049-de-quervain-s-corticosteroid-injection.md,,not_started,research\briefs\049-de-quervain-s-corticosteroid-injection.md,research\outlines\049-de-quervain-s-corticosteroid-injection.md,
50,Deltopectoral approach,deltopectoral-approach,"Shoulder & Elbow, Trauma",deltopectoral approach shoulder technique,deltopectoral surgical approach anatomy; anterior shoulder approach steps; proximal humerus deltopectoral exposure; shoulder deltopectoral interval technique; deltopectoral approach operative anatomy,https://web.osgenic.com/pages/10,research/competitor_sheets/050-deltopectoral-approach.md,,not_started,research\briefs\050-deltopectoral-approach.md,research\outlines\050-deltopectoral-approach.md,
51,Cricothyrotomy,cricothyrotomy,Trauma,cricothyrotomy technique,emergency surgical airway procedure; cricothyroidotomy step by step; trauma cricothyrotomy operative technique; front of neck access procedure; surgical airway landmarks cricothyrotomy,https://web.osgenic.com/pages/414,research/competitor_sheets/051-cricothyrotomy.md,,not_started,research\briefs\051-cricothyrotomy.md,research\outlines\051-cricothyrotomy.md,
52,Chest tube,chest-tube,Trauma,chest tube insertion technique,tube thoracostomy procedure; chest drain placement step by step; thoracostomy tube insertion landmarks; trauma chest tube procedure; intercostal drain insertion technique,https://web.osgenic.com/pages/405,research/competitor_sheets/052-chest-tube.md,,not_started,research\briefs\052-chest-tube.md,research\outlines\052-chest-tube.md,
53,Carpal tunnel release,carpal-tunnel-release,Hand Surgery,carpal tunnel release technique,open carpal tunnel release steps; median nerve decompression procedure; carpal tunnel surgery operative technique; transverse carpal ligament release; carpal tunnel release surgical approach,https://web.osgenic.com/pages/2,research/competitor_sheets/053-carpal-tunnel-release.md,,not_started,research\briefs\053-carpal-tunnel-release.md,research\outlines\053-carpal-tunnel-release.md,
54,C-arm projections - ankle fracture surgery,c-arm-projections-ankle-fracture-surgery,"Foot & Ankle, Trauma",c arm projections ankle fracture surgery,ankle fracture fluoroscopy views; intraoperative c arm ankle ORIF; ankle mortise fluoroscopic projections; ankle fracture surgery imaging views; c arm positioning ankle fixation,https://web.osgenic.com/pages/568,research/competitor_sheets/054-c-arm-projections-ankle-fracture-surgery.md,,not_started,research\briefs\054-c-arm-projections-ankle-fracture-surgery.md,research\outlines\054-c-arm-projections-ankle-fracture-surgery.md,
55,Below-knee amputation,below-knee-amputation,"Vascular Surgery, Trauma",below knee amputation technique,transtibial amputation procedure; BKA surgical steps; below knee amputation operative technique; transtibial amputation flap design; lower limb amputation procedure,https://web.osgenic.com/pages/774,research/competitor_sheets/055-below-knee-amputation.md,,not_started,research\briefs\055-below-knee-amputation.md,research\outlines\055-below-knee-amputation.md,
56,Anterolateral emergency thoracotomy,anterolateral-emergency-thoracotomy,Thoracic Surgery,anterolateral emergency thoracotomy technique,resuscitative thoracotomy procedure; trauma thoracotomy step by step; emergency department thoracotomy approach; left anterolateral thoracotomy trauma; thoracotomy operative exposure,https://web.osgenic.com/pages/575,research/competitor_sheets/056-anterolateral-emergency-thoracotomy.md,,not_started,research\briefs\056-anterolateral-emergency-thoracotomy.md,research\outlines\056-anterolateral-emergency-thoracotomy.md,
57,Anterior cruciate ligament (ACL) reconstruction,anterior-cruciate-ligament-acl-reconstruction,Sports Medicine,ACL reconstruction technique,anterior cruciate ligament reconstruction steps; arthroscopic ACL reconstruction procedure; hamstring graft ACL technique; patellar tendon ACL reconstruction operative steps; knee ligament reconstruction surgery,https://web.osgenic.com/pages/646,research/competitor_sheets/057-anterior-cruciate-ligament-acl-reconstruction.md,,not_started,research\briefs\057-anterior-cruciate-ligament-acl-reconstruction.md,research\outlines\057-anterior-cruciate-ligament-acl-reconstruction.md,
58,Ankle Spanning External Fixation,ankle-spanning-external-fixation,Trauma,ankle spanning external fixation technique,ankle bridge external fixator; temporary ankle external fixation steps; pilon fracture spanning fixator procedure; ankle damage control external fixation; external fixator for unstable ankle trauma,https://web.osgenic.com/pages/479,research/competitor_sheets/058-ankle-spanning-external-fixation.md,,not_started,research\briefs\058-ankle-spanning-external-fixation.md,research\outlines\058-ankle-spanning-external-fixation.md,
59,Ankle joint injection (subtalar and talocrural joint),ankle-joint-injection-subtalar-and-talocrural-joint,"Rheumatology, Foot & Ankle",ankle joint injection technique,subtalar joint injection procedure; talocrural joint injection landmarks; ankle corticosteroid injection step by step; hindfoot joint injection technique; orthopedic ankle injection approach,https://web.osgenic.com/pages/619,research/competitor_sheets/059-ankle-joint-injection-subtalar-and-talocrural-joint.md,,not_started,research\briefs\059-ankle-joint-injection-subtalar-and-talocrural-joint.md,research\outlines\059-ankle-joint-injection-subtalar-and-talocrural-joint.md,
60,Ankle Approach - Posterolateral,ankle-approach-posterolateral,Trauma,posterolateral ankle approach technique,ankle posterolateral surgical approach; posterior malleolus approach ankle; posterolateral exposure distal fibula ankle; ankle approach anatomy posterolateral; posterolateral ankle operative steps,https://web.osgenic.com/pages/408,research/competitor_sheets/060-ankle-approach-posterolateral.md,,not_started,research\briefs\060-ankle-approach-posterolateral.md,research\outlines\060-ankle-approach-posterolateral.md,
61,Ankle Approach - Medial,ankle-approach-medial,Trauma,medial ankle approach technique,ankle medial surgical approach; medial malleolus approach anatomy; ankle exposure tibial plafond medial; medial ankle operative approach steps; ankle approach dissection medial,https://web.osgenic.com/pages/416,research/competitor_sheets/061-ankle-approach-medial.md,,not_started,research\briefs\061-ankle-approach-medial.md,research\outlines\061-ankle-approach-medial.md,
