hub_index,hub_name,hub_slug,hub_model,keyword_count,total_cluster_volume,representative_keyword,rep_volume,top_keywords,primary_content_type,supporting_content_opportunities,serp_intent,dominant_ranking_format,top_competitors,recommended_opportunity,source_urls,hub_brief_file,hub_competitor_research_file,hub_outline_file,research_status
11,Injection and nerve block techniques,injection-and-nerve-block-techniques,Step-by-step procedure hub,16,"1,530",digital nerve block,"1,000","digital blocking (1000), subtalar injection (210), subtalar joint injection (110), toe block (110), ankle injection technique (30)",Procedure page,Landmarks; dosing; contraindications; ultrasound vs landmark,Procedural/educational,Manual-style how-to pages,MSD Manuals | Anesthesia Key | Bone & Spine,"Cover anatomy, block variations, dosing, contraindications, and fingertip-specific pearls with clear illustrations.","https://www.msdmanuals.com/professional/injuries-poisoning/how-to-do-anesthesia-procedures/how-to-do-a-digital-nerve-block
https://aneskey.com/digital-nerve-block/
https://boneandspine.com/digital-nerve-block-techniques/",research\hub_briefs\011-injection-and-nerve-block-techniques.md,research\hub_competitor_sheets\011-injection-and-nerve-block-techniques.md,research\hub_outlines\011-injection-and-nerve-block-techniques.md,not_started
12,Fracture fixation techniques,fracture-fixation-techniques,Surgical technique hub,12,"1,440",orif tibial plateau,390,"orif tibial plateau (390), gamma nailing (320), open reduction internal fixation tibial plateau (260), open reduction internal fixation tibial plateau fractures (210), dynamic hip screw surgery (110)",Procedure page,ORIF steps; approach selection; implants; rehab protocol,Educational/procedural,Ortho education pages and surgery references,Orthobullets | AO Surgery Reference | rehab/protocol sites,"Build a definitive ORIF guide with Schatzker-based approach selection, fixation strategy, and post-op protocol.",https://www.orthobullets.com/trauma/1044/tibial-plateau-fractures,research\hub_briefs\012-fracture-fixation-techniques.md,research\hub_competitor_sheets\012-fracture-fixation-techniques.md,research\hub_outlines\012-fracture-fixation-techniques.md,not_started
13,Knee arthroplasty,knee-arthroplasty,Niche technique hub,12,790,lateral knee replacement surgery,140,"lateral knee replacement surgery (140), lateral approach knee replacement (110), attune surgical technique (90), attune tkr (90), lateral approach total knee replacement (90)",Procedure page,Lateral approach candidacy; outcomes; implant systems,Low-volume niche / commercial,Provider pages and anecdotal discussions,Orlando Orthopaedic Center | Mayo Clinic Connect | niche orthopedic reviews,"Own this niche with evidence-backed lateral-approach candidacy, expected benefits, limitations, and surgeon selection criteria.","https://www.orlandoortho.com/why-lateral-approach-total-knee-replacement-might-be-a-better-choice-michelles-patient-story/
https://connect.mayoclinic.org/discussion/side-incision-tkr/
https://www.orlandoortho.com/get-back-in-the-game-with-lateral-approach-total-knee-replacement-surgery-toms-story/",research\hub_briefs\013-knee-arthroplasty.md,research\hub_competitor_sheets\013-knee-arthroplasty.md,research\hub_outlines\013-knee-arthroplasty.md,not_started
14,Sports medicine and upper extremity,sports-medicine-and-upper-extremity,Video-first procedure hub,13,680,trigger finger surgery video,480,"trigger finger surgery video (480), achilles tendon surgery video (50), trigger finger release technique (30), achilles tendon rupture repair technique (20), acl reconstruction step by step (20)",Video + article hybrid,Surgical video; steps; pearls; rehab,Video intent,YouTube and video libraries,YouTube | CSurgeries | Orthogate,"Lead with an embedded surgical video, then add transcript, instruments, steps, and post-op recovery Q&A.","https://www.youtube.com/watch?v=JtqGbwJAAVU
https://csurgeries.com/video/open-surgical-release-of-stenosing-tenosynovitis-a-k-a-trigger-finger/
https://www.orthogate.org/videos/hand-and-wrist/2116-trigger-finger-release-real-time-surgical-video",research\hub_briefs\014-sports-medicine-and-upper-extremity.md,research\hub_competitor_sheets\014-sports-medicine-and-upper-extremity.md,research\hub_outlines\014-sports-medicine-and-upper-extremity.md,not_started
15,Surgical positioning,surgical-positioning,OR setup hub,3,620,jackknife position surgery,480,"jackknife position surgery (480), jackknife prone positioning (90), prone jackknife position during surgery (50)",Educational guide,Uses; pressure points; contraindications; positioning checklist,Educational/procedural,Medical explainers and reference pages,Osmosis | ScienceDirect Topics | procedure blogs,"Opportunity for a concise OR-positioning page with indications, setup steps, pressure injury prevention, and contraindications.","https://www.osmosis.org/answers/jackknife-position
https://www.sciencedirect.com/topics/medicine-and-dentistry/jackknife-position",research\hub_briefs\015-surgical-positioning.md,research\hub_competitor_sheets\015-surgical-positioning.md,research\hub_outlines\015-surgical-positioning.md,not_started
16,Amputation techniques,amputation-techniques,Procedural guide hub,12,180,below knee amputation technique,70,"below knee amputation technique (70), above knee amputation technique (40), bka surgical technique (20), transtibial amputation technique (20), aka amputation technique (10)",Technique guide,Below-knee vs above-knee flap design; level selection; postoperative rehab,Procedural/technical,Technique references and textbook-style pages,Orthobullets | Wheeless Online | AI/medical summary pages,"Publish a surgeon-grade step sequence with flap diagrams, stump shaping pearls, and rehab/complication sections.","https://www.orthobullets.com/approaches/12311/below-knee-amputation
https://www.wheelessonline.com/joints/below-knee-amputation/",research\hub_briefs\016-amputation-techniques.md,research\hub_competitor_sheets\016-amputation-techniques.md,research\hub_outlines\016-amputation-techniques.md,not_started
17,Surgical approaches,surgical-approaches,Exposure/approach hub,6,130,anterior surgical approach hip,40,"anterior surgical approach hip (40), posterolateral ankle approach (40), medial malleolus approach (20), posterior humerus approach (20), ankle approaches (10)",Procedure page,Approach anatomy; safe intervals; exposure pitfalls,Procedural/technical,Ortho approach references and hospital pages,Orthobullets | HSS | Yale Medicine,"Create a surgeon-oriented approach page with landmarks, internervous plane, incision, pitfalls, and linked THA content.","https://www.orthobullets.com/approaches/12020/hip-anterior-approach-smith-petersen
https://www.hss.edu/health-library/conditions-and-treatments/anterior-hip-replacement
https://www.yalemedicine.org/conditions/total-hip-replacement-anterior-approach",research\hub_briefs\017-surgical-approaches.md,research\hub_competitor_sheets\017-surgical-approaches.md,research\hub_outlines\017-surgical-approaches.md,not_started
18,Spine surgery,spine-surgery,Spine procedure hub,2,90,minimally invasive microdiscectomy,90,"minimally invasive microdiscectomy (90), microdiscectomy technique (0)",Procedure page,Microdiscectomy overview; candidacy; recovery; minimally invasive benefits,Informational/commercial,Hospital condition pages and recovery explainers,HSS | Johns Hopkins | Healthline,"Create a balanced page on who qualifies, operative steps, expected outcomes, and recovery milestones.","https://www.hss.edu/health-library/conditions-and-treatments/microdiscectomy
https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/minimally-invasive-lumbar-discectomy
https://www.healthline.com/health/microdiscectomy",research\hub_briefs\018-spine-surgery.md,research\hub_competitor_sheets\018-spine-surgery.md,research\hub_outlines\018-spine-surgery.md,not_started
19,General/urologic procedures,general-urologic-procedures,Cross-specialty technique hub,2,30,suprapubic catheter placement technique,20,"suprapubic catheter placement technique (20), orchiopexy surgical technique (10)",Procedure page,Indications; ultrasound guidance; complications; aftercare,Procedural/clinical,Urology procedural guides and hospital patient sheets,Urology Textbook | NHS hospital leaflets | procedure explainer sites,"Create an ultrasound-guided placement guide with indications, contraindications, troubleshooting, and aftercare.","https://www.urology-textbook.com/suprapubic-catheter.html
https://biologyinsights.com/how-to-insert-a-suprapubic-catheter/",research\hub_briefs\019-general-urologic-procedures.md,research\hub_competitor_sheets\019-general-urologic-procedures.md,research\hub_outlines\019-general-urologic-procedures.md,not_started
20,Thoracic procedures,thoracic-procedures,Cross-specialty video hub,1,20,chest tube placement video,20,chest tube placement video (20),Video + article hybrid,Chest tube indications; anatomy; steps; aftercare,Video/procedural,YouTube and surgical video libraries,YouTube | CSurgeries | JoVE/JOMI,"Publish a high-quality procedure video plus written indications, anatomy, kit list, and complication management.","https://www.youtube.com/watch?v=IdmMR8JxmFo
https://csurgeries.com/video/surgical-insertion-of-a-chest-tube/
https://www.jove.com/v/10283/tube-thoracostomy-chest-tube-placement-procedure",research\hub_briefs\020-thoracic-procedures.md,research\hub_competitor_sheets\020-thoracic-procedures.md,research\hub_outlines\020-thoracic-procedures.md,not_started
