deliverable_index,hub_index,hub_name,hub_slug,deliverable_type,title,slug,target_keyword,supporting_topic,cluster_keywords,serp_intent,primary_content_type,brief_file,competitor_research_file,outline_file,source_urls,draft_status,web_review_status,seo_title,meta_description,article_markdown,faq,notes
11,3,Fracture classifications,fracture-classifications,hub_page,Fracture classifications,fracture-classifications,gustilo anderson classification,,"gustilo anderson classification (1000), gustilo classification (720), weber classification (720), garden classification (480), gartland classification (390)",Reference/educational,Reference/pillar page,research\hub_briefs\003-fracture-classifications.md,research\hub_competitor_sheets\003-fracture-classifications.md,research\hub_outlines\003-fracture-classifications.md,https://www.orthobullets.com/trauma/1003/gustilo-classification,not_started,not_started,,,,,
12,3,Fracture classifications,fracture-classifications,supporting_article,Fracture classifications: Classification tables,fracture-classifications-classification-tables,classification tables,Classification tables,"gustilo anderson classification (1000), gustilo classification (720), weber classification (720), garden classification (480), gartland classification (390)",Reference/educational,supporting article,research\hub_briefs\003-fracture-classifications.md,research\hub_competitor_sheets\003-fracture-classifications.md,research\hub_outlines\003-fracture-classifications.md,https://www.orthobullets.com/trauma/1003/gustilo-classification,not_started,not_started,,,,,
13,3,Fracture classifications,fracture-classifications,supporting_article,Fracture classifications: imaging examples,fracture-classifications-imaging-examples,imaging examples,imaging examples,"gustilo anderson classification (1000), gustilo classification (720), weber classification (720), garden classification (480), gartland classification (390)",Reference/educational,supporting article,research\hub_briefs\003-fracture-classifications.md,research\hub_competitor_sheets\003-fracture-classifications.md,research\hub_outlines\003-fracture-classifications.md,https://www.orthobullets.com/trauma/1003/gustilo-classification,not_started,not_started,,,,,
14,3,Fracture classifications,fracture-classifications,supporting_article,Fracture classifications: treatment implications,fracture-classifications-treatment-implications,treatment implications,treatment implications,"gustilo anderson classification (1000), gustilo classification (720), weber classification (720), garden classification (480), gartland classification (390)",Reference/educational,supporting article,research\hub_briefs\003-fracture-classifications.md,research\hub_competitor_sheets\003-fracture-classifications.md,research\hub_outlines\003-fracture-classifications.md,https://www.orthobullets.com/trauma/1003/gustilo-classification,not_started,not_started,,,,,
15,4,Orthopedic trauma,orthopedic-trauma,hub_page,Orthopedic trauma,orthopedic-trauma,compartment syndrome surgery,,"compartment syndrome surgery (1600), tibial plateau fracture surgery (480), holstein lewis fracture (320), reduce fracture (320), reduction of a fracture (320)",Urgent care + procedural,Procedure hub,research\hub_briefs\004-orthopedic-trauma.md,research\hub_competitor_sheets\004-orthopedic-trauma.md,research\hub_outlines\004-orthopedic-trauma.md,"https://www.guysandstthomas.nhs.uk/health-information/fasciotomy-surgery-compartment-syndrome
https://www.nhs.uk/conditions/compartment-syndrome/",not_started,not_started,,,,,
16,4,Orthopedic trauma,orthopedic-trauma,supporting_article,Orthopedic trauma: Emergency indications,orthopedic-trauma-emergency-indications,emergency indications,Emergency indications,"compartment syndrome surgery (1600), tibial plateau fracture surgery (480), holstein lewis fracture (320), reduce fracture (320), reduction of a fracture (320)",Urgent care + procedural,supporting article,research\hub_briefs\004-orthopedic-trauma.md,research\hub_competitor_sheets\004-orthopedic-trauma.md,research\hub_outlines\004-orthopedic-trauma.md,"https://www.guysandstthomas.nhs.uk/health-information/fasciotomy-surgery-compartment-syndrome
https://www.nhs.uk/conditions/compartment-syndrome/",not_started,not_started,,,,,
17,4,Orthopedic trauma,orthopedic-trauma,supporting_article,Orthopedic trauma: fasciotomy timing,orthopedic-trauma-fasciotomy-timing,fasciotomy timing,fasciotomy timing,"compartment syndrome surgery (1600), tibial plateau fracture surgery (480), holstein lewis fracture (320), reduce fracture (320), reduction of a fracture (320)",Urgent care + procedural,supporting article,research\hub_briefs\004-orthopedic-trauma.md,research\hub_competitor_sheets\004-orthopedic-trauma.md,research\hub_outlines\004-orthopedic-trauma.md,"https://www.guysandstthomas.nhs.uk/health-information/fasciotomy-surgery-compartment-syndrome
https://www.nhs.uk/conditions/compartment-syndrome/",not_started,not_started,,,,,
18,4,Orthopedic trauma,orthopedic-trauma,supporting_article,Orthopedic trauma: fixation decision trees,orthopedic-trauma-fixation-decision-trees,fixation decision trees,fixation decision trees,"compartment syndrome surgery (1600), tibial plateau fracture surgery (480), holstein lewis fracture (320), reduce fracture (320), reduction of a fracture (320)",Urgent care + procedural,supporting article,research\hub_briefs\004-orthopedic-trauma.md,research\hub_competitor_sheets\004-orthopedic-trauma.md,research\hub_outlines\004-orthopedic-trauma.md,"https://www.guysandstthomas.nhs.uk/health-information/fasciotomy-surgery-compartment-syndrome
https://www.nhs.uk/conditions/compartment-syndrome/",not_started,not_started,,,,,
19,5,Knee injections and aspiration,knee-injections-and-aspiration,hub_page,Knee injections and aspiration,knee-injections-and-aspiration,knee aspiration,,"knee aspiration (1600), knee arthrocentesis (1000), knee joint tap (260), arthrocentesis aspiration (210), intra articular injection of knee (170)",Procedural/educational,Procedure page,research\hub_briefs\005-knee-injections-and-aspiration.md,research\hub_competitor_sheets\005-knee-injections-and-aspiration.md,research\hub_outlines\005-knee-injections-and-aspiration.md,"https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://my.clevelandclinic.org/health/treatments/14512-arthrocentesis-joint-aspiration",not_started,not_started,,,,,
20,5,Knee injections and aspiration,knee-injections-and-aspiration,supporting_article,Knee injections and aspiration: Arthrocentesis indications,knee-injections-and-aspiration-arthrocentesis-indications,arthrocentesis indications,Arthrocentesis indications,"knee aspiration (1600), knee arthrocentesis (1000), knee joint tap (260), arthrocentesis aspiration (210), intra articular injection of knee (170)",Procedural/educational,supporting article,research\hub_briefs\005-knee-injections-and-aspiration.md,research\hub_competitor_sheets\005-knee-injections-and-aspiration.md,research\hub_outlines\005-knee-injections-and-aspiration.md,"https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://my.clevelandclinic.org/health/treatments/14512-arthrocentesis-joint-aspiration",not_started,not_started,,,,,
21,5,Knee injections and aspiration,knee-injections-and-aspiration,supporting_article,Knee injections and aspiration: fluid analysis,knee-injections-and-aspiration-fluid-analysis,fluid analysis,fluid analysis,"knee aspiration (1600), knee arthrocentesis (1000), knee joint tap (260), arthrocentesis aspiration (210), intra articular injection of knee (170)",Procedural/educational,supporting article,research\hub_briefs\005-knee-injections-and-aspiration.md,research\hub_competitor_sheets\005-knee-injections-and-aspiration.md,research\hub_outlines\005-knee-injections-and-aspiration.md,"https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://my.clevelandclinic.org/health/treatments/14512-arthrocentesis-joint-aspiration",not_started,not_started,,,,,
22,5,Knee injections and aspiration,knee-injections-and-aspiration,supporting_article,Knee injections and aspiration: aspiration vs injection,knee-injections-and-aspiration-aspiration-vs-injection,aspiration vs injection,aspiration vs injection,"knee aspiration (1600), knee arthrocentesis (1000), knee joint tap (260), arthrocentesis aspiration (210), intra articular injection of knee (170)",Procedural/educational,supporting article,research\hub_briefs\005-knee-injections-and-aspiration.md,research\hub_competitor_sheets\005-knee-injections-and-aspiration.md,research\hub_outlines\005-knee-injections-and-aspiration.md,"https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://my.clevelandclinic.org/health/treatments/14512-arthrocentesis-joint-aspiration",not_started,not_started,,,,,
23,6,General orthopedic procedures,general-orthopedic-procedures,hub_page,General orthopedic procedures,general-orthopedic-procedures,knee joint aspiration,,"knee joint aspiration (1300), distal radial metaphysis (480), anatomical neck of femur (260), anterior approach (210), blood supply scaphoid (210)",Procedural/educational,Pillar page,research\hub_briefs\006-general-orthopedic-procedures.md,research\hub_competitor_sheets\006-general-orthopedic-procedures.md,research\hub_outlines\006-general-orthopedic-procedures.md,"https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://www.aafp.org/pubs/afp/issues/2002/1015/p1497.html",not_started,not_started,,,,,
24,6,General orthopedic procedures,general-orthopedic-procedures,supporting_article,General orthopedic procedures: Procedure basics,general-orthopedic-procedures-procedure-basics,procedure basics,Procedure basics,"knee joint aspiration (1300), distal radial metaphysis (480), anatomical neck of femur (260), anterior approach (210), blood supply scaphoid (210)",Procedural/educational,supporting article,research\hub_briefs\006-general-orthopedic-procedures.md,research\hub_competitor_sheets\006-general-orthopedic-procedures.md,research\hub_outlines\006-general-orthopedic-procedures.md,"https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://www.aafp.org/pubs/afp/issues/2002/1015/p1497.html",not_started,not_started,,,,,
25,6,General orthopedic procedures,general-orthopedic-procedures,supporting_article,General orthopedic procedures: anatomy refreshers,general-orthopedic-procedures-anatomy-refreshers,anatomy refreshers,anatomy refreshers,"knee joint aspiration (1300), distal radial metaphysis (480), anatomical neck of femur (260), anterior approach (210), blood supply scaphoid (210)",Procedural/educational,supporting article,research\hub_briefs\006-general-orthopedic-procedures.md,research\hub_competitor_sheets\006-general-orthopedic-procedures.md,research\hub_outlines\006-general-orthopedic-procedures.md,"https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://www.aafp.org/pubs/afp/issues/2002/1015/p1497.html",not_started,not_started,,,,,
26,6,General orthopedic procedures,general-orthopedic-procedures,supporting_article,General orthopedic procedures: indications/contraindications,general-orthopedic-procedures-indications-contraindications,indications/contraindications,indications/contraindications,"knee joint aspiration (1300), distal radial metaphysis (480), anatomical neck of femur (260), anterior approach (210), blood supply scaphoid (210)",Procedural/educational,supporting article,research\hub_briefs\006-general-orthopedic-procedures.md,research\hub_competitor_sheets\006-general-orthopedic-procedures.md,research\hub_outlines\006-general-orthopedic-procedures.md,"https://geekymedics.com/knee-joint-aspiration-and-injection-osce-guide/
https://www.msdmanuals.com/professional/musculoskeletal-and-connective-tissue-disorders/how-to-do-arthrocentesis/how-to-do-knee-arthrocentesis
https://www.aafp.org/pubs/afp/issues/2002/1015/p1497.html",not_started,not_started,,,,,
27,7,Access lines and vascular access,access-lines-and-vascular-access,hub_page,Access lines and vascular access,access-lines-and-vascular-access,intraosseous access,,"intraosseous access (2900), axillary arterial line (260), brachial arterial line (170), axillary artery arterial line (140), brachial artery arterial line (140)",Informational/procedural,Definitive guide + technique page,research\hub_briefs\007-access-lines-and-vascular-access.md,research\hub_competitor_sheets\007-access-lines-and-vascular-access.md,research\hub_outlines\007-access-lines-and-vascular-access.md,"https://geekymedics.com/intraosseous-access-osce-guide/
https://www.osmosis.org/answers/intraosseous-device",not_started,not_started,,,,,
28,7,Access lines and vascular access,access-lines-and-vascular-access,supporting_article,Access lines and vascular access: IO access indications,access-lines-and-vascular-access-io-access-indications,io access indications,IO access indications,"intraosseous access (2900), axillary arterial line (260), brachial arterial line (170), axillary artery arterial line (140), brachial artery arterial line (140)",Informational/procedural,supporting article,research\hub_briefs\007-access-lines-and-vascular-access.md,research\hub_competitor_sheets\007-access-lines-and-vascular-access.md,research\hub_outlines\007-access-lines-and-vascular-access.md,"https://geekymedics.com/intraosseous-access-osce-guide/
https://www.osmosis.org/answers/intraosseous-device",not_started,not_started,,,,,
29,7,Access lines and vascular access,access-lines-and-vascular-access,supporting_article,Access lines and vascular access: landmarks,access-lines-and-vascular-access-landmarks,landmarks,landmarks,"intraosseous access (2900), axillary arterial line (260), brachial arterial line (170), axillary artery arterial line (140), brachial artery arterial line (140)",Informational/procedural,supporting article,research\hub_briefs\007-access-lines-and-vascular-access.md,research\hub_competitor_sheets\007-access-lines-and-vascular-access.md,research\hub_outlines\007-access-lines-and-vascular-access.md,"https://geekymedics.com/intraosseous-access-osce-guide/
https://www.osmosis.org/answers/intraosseous-device",not_started,not_started,,,,,
30,7,Access lines and vascular access,access-lines-and-vascular-access,supporting_article,Access lines and vascular access: complications,access-lines-and-vascular-access-complications,complications,complications,"intraosseous access (2900), axillary arterial line (260), brachial arterial line (170), axillary artery arterial line (140), brachial artery arterial line (140)",Informational/procedural,supporting article,research\hub_briefs\007-access-lines-and-vascular-access.md,research\hub_competitor_sheets\007-access-lines-and-vascular-access.md,research\hub_outlines\007-access-lines-and-vascular-access.md,"https://geekymedics.com/intraosseous-access-osce-guide/
https://www.osmosis.org/answers/intraosseous-device",not_started,not_started,,,,,
31,7,Access lines and vascular access,access-lines-and-vascular-access,supporting_article,Access lines and vascular access: device comparison,access-lines-and-vascular-access-device-comparison,device comparison,device comparison,"intraosseous access (2900), axillary arterial line (260), brachial arterial line (170), axillary artery arterial line (140), brachial artery arterial line (140)",Informational/procedural,supporting article,research\hub_briefs\007-access-lines-and-vascular-access.md,research\hub_competitor_sheets\007-access-lines-and-vascular-access.md,research\hub_outlines\007-access-lines-and-vascular-access.md,"https://geekymedics.com/intraosseous-access-osce-guide/
https://www.osmosis.org/answers/intraosseous-device",not_started,not_started,,,,,
32,8,Orthopedic anatomy,orthopedic-anatomy,hub_page,Orthopedic anatomy,orthopedic-anatomy,plafond of tibia,,"plafond of tibia (480), scaphoid avn (390), scaphoid blood supply (390), avascular necrosis of scaphoid (320), avn of scaphoid (320)",Educational/reference,Educational guide,research\hub_briefs\008-orthopedic-anatomy.md,research\hub_competitor_sheets\008-orthopedic-anatomy.md,research\hub_outlines\008-orthopedic-anatomy.md,"https://www.orthobullets.com/trauma/1046/tibial-plafond-fractures
https://my.clevelandclinic.org/health/diseases/21831-pilon-fractures
https://teachmesurgery.com/orthopaedic/ankle-and-foot/tibial-pilon-fracture/",not_started,not_started,,,,,
33,8,Orthopedic anatomy,orthopedic-anatomy,supporting_article,Orthopedic anatomy: Blood supply,orthopedic-anatomy-blood-supply,blood supply,Blood supply,"plafond of tibia (480), scaphoid avn (390), scaphoid blood supply (390), avascular necrosis of scaphoid (320), avn of scaphoid (320)",Educational/reference,supporting article,research\hub_briefs\008-orthopedic-anatomy.md,research\hub_competitor_sheets\008-orthopedic-anatomy.md,research\hub_outlines\008-orthopedic-anatomy.md,"https://www.orthobullets.com/trauma/1046/tibial-plafond-fractures
https://my.clevelandclinic.org/health/diseases/21831-pilon-fractures
https://teachmesurgery.com/orthopaedic/ankle-and-foot/tibial-pilon-fracture/",not_started,not_started,,,,,
34,8,Orthopedic anatomy,orthopedic-anatomy,supporting_article,Orthopedic anatomy: fracture relevance,orthopedic-anatomy-fracture-relevance,fracture relevance,fracture relevance,"plafond of tibia (480), scaphoid avn (390), scaphoid blood supply (390), avascular necrosis of scaphoid (320), avn of scaphoid (320)",Educational/reference,supporting article,research\hub_briefs\008-orthopedic-anatomy.md,research\hub_competitor_sheets\008-orthopedic-anatomy.md,research\hub_outlines\008-orthopedic-anatomy.md,"https://www.orthobullets.com/trauma/1046/tibial-plafond-fractures
https://my.clevelandclinic.org/health/diseases/21831-pilon-fractures
https://teachmesurgery.com/orthopaedic/ankle-and-foot/tibial-pilon-fracture/",not_started,not_started,,,,,
35,8,Orthopedic anatomy,orthopedic-anatomy,supporting_article,Orthopedic anatomy: anatomy visuals,orthopedic-anatomy-anatomy-visuals,anatomy visuals,anatomy visuals,"plafond of tibia (480), scaphoid avn (390), scaphoid blood supply (390), avascular necrosis of scaphoid (320), avn of scaphoid (320)",Educational/reference,supporting article,research\hub_briefs\008-orthopedic-anatomy.md,research\hub_competitor_sheets\008-orthopedic-anatomy.md,research\hub_outlines\008-orthopedic-anatomy.md,"https://www.orthobullets.com/trauma/1046/tibial-plafond-fractures
https://my.clevelandclinic.org/health/diseases/21831-pilon-fractures
https://teachmesurgery.com/orthopaedic/ankle-and-foot/tibial-pilon-fracture/",not_started,not_started,,,,,
36,9,Sterility and surgical setup,sterility-and-surgical-setup,hub_page,Sterility and surgical setup,sterility-and-surgical-setup,surgical asepsis,,"surgical asepsis (2400), surgical asepsis techniques (110), aseptic and sterile technique (70), sterile field in operating room (70), sterile technique operating room (40)",Educational,Educational guide,research\hub_briefs\009-sterility-and-surgical-setup.md,research\hub_competitor_sheets\009-sterility-and-surgical-setup.md,research\hub_outlines\009-sterility-and-surgical-setup.md,"https://my.clevelandclinic.org/health/treatments/aseptic-technique
https://med.libretexts.org/Bookshelves/Nursing/Clinical_Procedures_for_Safer_Patient_Care_%28Doyle_and_McCutcheon%29/01%3A_Infection_Control/1.05%3A_Surgical_Asepsis_and_the_Principles_of_Sterile_Technique
https://www.afpp.org.uk/wp-content/uploads/Standards-Collection-Aseptic-Technique.pdf",not_started,not_started,,,,,
37,9,Sterility and surgical setup,sterility-and-surgical-setup,supporting_article,Sterility and surgical setup: Sterile field setup,sterility-and-surgical-setup-sterile-field-setup,sterile field setup,Sterile field setup,"surgical asepsis (2400), surgical asepsis techniques (110), aseptic and sterile technique (70), sterile field in operating room (70), sterile technique operating room (40)",Educational,supporting article,research\hub_briefs\009-sterility-and-surgical-setup.md,research\hub_competitor_sheets\009-sterility-and-surgical-setup.md,research\hub_outlines\009-sterility-and-surgical-setup.md,"https://my.clevelandclinic.org/health/treatments/aseptic-technique
https://med.libretexts.org/Bookshelves/Nursing/Clinical_Procedures_for_Safer_Patient_Care_%28Doyle_and_McCutcheon%29/01%3A_Infection_Control/1.05%3A_Surgical_Asepsis_and_the_Principles_of_Sterile_Technique
https://www.afpp.org.uk/wp-content/uploads/Standards-Collection-Aseptic-Technique.pdf",not_started,not_started,,,,,
38,9,Sterility and surgical setup,sterility-and-surgical-setup,supporting_article,Sterility and surgical setup: rules,sterility-and-surgical-setup-rules,rules,rules,"surgical asepsis (2400), surgical asepsis techniques (110), aseptic and sterile technique (70), sterile field in operating room (70), sterile technique operating room (40)",Educational,supporting article,research\hub_briefs\009-sterility-and-surgical-setup.md,research\hub_competitor_sheets\009-sterility-and-surgical-setup.md,research\hub_outlines\009-sterility-and-surgical-setup.md,"https://my.clevelandclinic.org/health/treatments/aseptic-technique
https://med.libretexts.org/Bookshelves/Nursing/Clinical_Procedures_for_Safer_Patient_Care_%28Doyle_and_McCutcheon%29/01%3A_Infection_Control/1.05%3A_Surgical_Asepsis_and_the_Principles_of_Sterile_Technique
https://www.afpp.org.uk/wp-content/uploads/Standards-Collection-Aseptic-Technique.pdf",not_started,not_started,,,,,
39,9,Sterility and surgical setup,sterility-and-surgical-setup,supporting_article,Sterility and surgical setup: breaches,sterility-and-surgical-setup-breaches,breaches,breaches,"surgical asepsis (2400), surgical asepsis techniques (110), aseptic and sterile technique (70), sterile field in operating room (70), sterile technique operating room (40)",Educational,supporting article,research\hub_briefs\009-sterility-and-surgical-setup.md,research\hub_competitor_sheets\009-sterility-and-surgical-setup.md,research\hub_outlines\009-sterility-and-surgical-setup.md,"https://my.clevelandclinic.org/health/treatments/aseptic-technique
https://med.libretexts.org/Bookshelves/Nursing/Clinical_Procedures_for_Safer_Patient_Care_%28Doyle_and_McCutcheon%29/01%3A_Infection_Control/1.05%3A_Surgical_Asepsis_and_the_Principles_of_Sterile_Technique
https://www.afpp.org.uk/wp-content/uploads/Standards-Collection-Aseptic-Technique.pdf",not_started,not_started,,,,,
